2009-10-24 19:10:35 Notice: Notice (8): Undefined variable: javascript in [APP/views/home/view.ctp, line 32]
2009-11-02 00:13:54 Notice: Notice (8): Undefined index:  id in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 00:21:42 Notice: Notice (8): Undefined index:  id in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 00:28:51 Notice: Notice (8): Undefined index:  id in [APP/controllers/pictures_controller.php, line 77]
2009-11-02 20:24:17 Notice: Notice (8): Undefined property: HomeController::$Picture in [APP/controllers/home_controller.php, line 12]
2009-11-06 16:11:06 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 98]
2009-11-06 16:13:09 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 98]
2009-11-06 16:13:46 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/controllers/pictures_controller.php, line 99]
2009-11-06 16:40:42 Notice: Notice (8): Undefined variable: recentPics in [APP/views/home/index.ctp, line 35]
2009-11-06 16:45:33 Notice: Notice (8): Undefined variable: recentPics in [APP/views/home/index.ctp, line 35]
2009-11-06 16:46:50 Notice: Notice (8): Undefined variable: recentPics in [APP/views/home/index.ctp, line 35]
2009-11-06 16:47:25 Notice: Notice (8): Undefined index:  id in [APP/views/home/index.ctp, line 36]
2009-11-06 16:47:25 Notice: Notice (8): Undefined index:  caption in [APP/views/home/index.ctp, line 36]
2009-11-06 16:47:25 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 36]
2009-11-06 16:47:25 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 37]
2009-11-06 16:48:47 Notice: Notice (8): Undefined index:  id in [APP/views/home/index.ctp, line 37]
2009-11-06 16:51:08 Notice: Notice (8): Undefined index:  User in [APP/views/home/index.ctp, line 38]
2009-11-06 16:52:36 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:52:36 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:52:39 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:52:39 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:52:39 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:52:39 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:53:04 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:53:04 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:53:27 Notice: Notice (8): Use of undefined constant Picture - assumed 'Picture' in [APP/views/home/index.ctp, line 38]
2009-11-06 16:53:27 Notice: Notice (8): Use of undefined constant User - assumed 'User' in [APP/views/home/index.ctp, line 39]
2009-11-06 16:53:27 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:53:27 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:53:45 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:53:45 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:55:10 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:55:10 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:55:12 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:55:12 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:55:27 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:55:27 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:55:28 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:55:28 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:55:58 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:55:58 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:55:59 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:55:59 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:56:00 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:56:00 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
2009-11-06 16:58:14 Notice: Notice (8): Undefined index:  lat in [APP/views/home/index.ctp, line 40]
2009-11-06 16:58:14 Notice: Notice (8): Undefined index:  lng in [APP/views/home/index.ctp, line 41]
